annee,profession_sante,region,departement,hono_sans_depassement_moyens
2012,Médecins nucléaires,32,999,920763
2018,Rhumatologues,93,13,152093
2014,Néphrologues,3,973,0
2016,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),44,51,204904
2016,Médecins pathologistes,76,12,0
2019,Médecins nucléaires,75,64,0
2019,Ensemble des médecins spécialistes (hors généralistes),44,52,314277
2016,Radiologues,52,85,520492
2020,Chirurgiens,11,95,266498
2010,Gynécologues médicaux et obstétriciens,75,86,156484
2016,Médecins pathologistes,3,973,0
2014,Orthophonistes,28,27,53524
2011,Orthoptistes,44,57,50142
2011,Ensemble des médecins,52,53,202563
2019,Stomatologues,75,23,0
2019,Infirmiers,84,999,78471
2017,Orthoptistes,11,92,48611
2020,Radiologues,32,60,585613
2021,Cardiologues,84,69,345438
2012,Médecins généralistes à expertise particulière (MEP),24,28,130214
2021,Rhumatologues,11,95,140706
2018,Ensemble des chirurgiens-dentistes,24,36,154234
2015,Médecins généralistes (hors médecins à expertise particulière - MEP),27,999,150943
2016,Ensemble des auxiliaires médicaux,44,88,83537
2017,Orthophonistes,76,48,46835
2010,Ensemble des médecins généralistes,84,999,116632
2020,Stomatologues,93,13,156497
2022,Masseurs-kinésithérapeutes,27,21,76685
2017,Pédiatres,84,999,131050
2020,Médecins généralistes à expertise particulière (MEP),11,92,141010
2011,Néphrologues,28,999,262680
2017,Ophtalmologues,93,999,297509
2020,Ensemble des médecins généralistes,75,19,175948
2018,Orthoptistes,53,999,62132
2022,Ensemble des médecins spécialistes (hors généralistes),75,86,296847
2021,Médecins pathologistes,76,12,0
2021,Allergologues,3,999,0
2010,Ensemble des médecins,2,972,184464
2012,Anesthésistes-réanimateurs,44,10,288363
2017,Pneumologues,28,999,209388
2015,Stomatologues,75,999,177450
2019,Pédicures-podologues,84,43,5617
2018,Ensemble des médecins spécialistes (hors généralistes),44,10,297066
2010,Endocrinologues,94,999,121718
2011,Ensemble des médecins généralistes,24,28,151786
2016,Radiologues,84,01,520116
2012,Anesthésistes-réanimateurs,75,17,305760
2015,Radiothérapeutes,75,64,2245854
2017,Chirurgiens,11,77,235856
2013,Ensemble des médecins spécialistes (hors généralistes),44,52,281340
2019,Autres médecins,76,65,220682
2015,Médecins pathologistes,53,999,502698
2013,Ensemble des médecins généralistes,44,68,150431
2021,Rhumatologues,6,999,0
2015,Néphrologues,93,13,284370
2019,Ophtalmologues,94,2B,339391
2018,Oto-rhino-laryngologistes,27,999,227520
2013,Oto-rhino-laryngologistes,93,13,166775
2010,Hépato-gastro-entérologues,76,66,269470
2011,Sages-femmes,84,38,54841
2022,Orthoptistes,84,74,50995
2013,Rhumatologues,75,33,182421
2013,Infirmiers,76,48,87058
2017,Ophtalmologues,52,49,423533
2020,Masseurs-kinésithérapeutes,93,999,79664
2015,Pneumologues,75,33,204727
2019,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),27,58,154231
2022,Infirmiers,84,38,84576
2014,Endocrinologues,2,972,63390
2021,Masseurs-kinésithérapeutes,32,80,87576
2015,Gynécologues médicaux et obstétriciens,53,22,203195
2015,Infirmiers,76,12,76096
2019,Infirmiers,24,37,79829
2022,Masseurs-kinésithérapeutes,4,974,87090
2019,Endocrinologues,53,29,103613
2021,Oto-rhino-laryngologistes,11,94,167056
2016,Endocrinologues,1,971,127857
2022,Cardiologues,32,999,351381
2015,Endocrinologues,52,44,126143
2017,Oto-rhino-laryngologistes,53,999,259962
2014,Gynécologues médicaux et obstétriciens,84,15,139155
2020,Pédicures-podologues,75,33,2307
2018,Ensemble des médecins,75,17,207676
2021,Médecins généralistes (hors médecins à expertise particulière - MEP),3,999,256541
2012,Sages-femmes,76,81,40370
2011,Sages-femmes,24,37,49833
2012,Ensemble des médecins spécialistes (hors généralistes),27,71,256216
2019,Pneumologues,32,59,297001
2016,Hépato-gastro-entérologues,75,16,234027
2020,Radiothérapeutes,44,88,0
2011,Ensemble des médecins spécialistes (hors généralistes),94,999,263718
2020,Ensemble des chirurgiens-dentistes,27,89,156026
2011,Ensemble des médecins généralistes,24,45,144749
2022,Ensemble des médecins généralistes,32,80,191573
2021,Masseurs-kinésithérapeutes,75,19,90894
2020,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),75,19,231185
2020,Ensemble des auxiliaires médicaux,84,999,66395
2016,Ensemble des médecins généralistes,24,41,163783
2017,Ensemble des auxiliaires médicaux,24,36,81105
2019,Pédicures-podologues,32,80,3937
2021,Masseurs-kinésithérapeutes,75,87,85850
2015,Ensemble des auxiliaires médicaux,93,999,83858
2016,Anesthésistes-réanimateurs,2,972,341177
2012,Neurologues,84,38,184675
2022,Ophtalmologues,94,999,415936
2020,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),93,04,156877
2010,Dermatologues,27,89,132730
2018,Orthophonistes,76,65,52850
2017,Ophtalmologues,11,92,214055
2012,Autres médecins,44,67,177321
2019,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),32,80,180831
2015,Gynécologues médicaux et obstétriciens,53,56,176446
2014,Anesthésistes-réanimateurs,32,80,339800
2021,Médecins généralistes (hors médecins à expertise particulière - MEP),27,39,181782
2010,Médecins généralistes à expertise particulière (MEP),27,70,147926
2021,Masseurs-kinésithérapeutes,93,05,60998
2022,Ensemble des médecins,24,41,262195
2011,Pédiatres,24,45,128580
2021,Autres médecins,75,999,167169
2020,Radiothérapeutes,2,972,0
2013,Néphrologues,4,974,354530
2012,Médecins généralistes à expertise particulière (MEP),75,33,110811
2010,Ensemble des médecins spécialistes (hors généralistes),24,37,224667
2016,Médecins généralistes (hors médecins à expertise particulière - MEP),93,84,152802
2021,Oto-rhino-laryngologistes,4,999,350079
2016,Stomatologues,28,999,245440
2011,Psychiatres,11,92,80641
2019,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),75,40,214913
2021,Dermatologues,1,971,125547
2021,Anesthésistes-réanimateurs,28,999,365916
2013,Néphrologues,27,90,0
2021,Oto-rhino-laryngologistes,75,79,221064
2016,Chirurgiens,94,2A,264109
2012,Oto-rhino-laryngologistes,11,78,145298
2022,Ensemble des chirurgiens-dentistes,52,999,165422
2017,Médecins généralistes à expertise particulière (MEP),11,94,148138
2016,Pneumologues,53,35,225713
2022,Ensemble des médecins spécialistes (hors généralistes),75,40,251184
2015,Médecins généralistes à expertise particulière (MEP),24,45,168512
2013,Radiologues,2,999,517807
2010,Cardiologues,28,76,285562
2021,Stomatologues,75,16,0
2022,Orthophonistes,28,76,55585
2015,Gynécologues médicaux et obstétriciens,11,93,196189
2014,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),24,18,138082
2010,Autres médecins,76,31,144526
2015,Ensemble des chirurgiens-dentistes,27,71,158341
2020,Radiologues,11,75,418442
2020,Orthoptistes,76,66,48580
2016,Dermatologues,44,55,172240
2015,Ensemble des médecins,75,47,235923
2013,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),32,999,204574
2020,Infirmiers,76,66,96505
2020,Ensemble des médecins,27,70,184942
2021,Masseurs-kinésithérapeutes,84,999,73775
2020,Ensemble des chirurgiens-dentistes,75,24,142410
2022,Chirurgiens,75,24,366694
2013,Radiologues,24,28,458133
2022,Médecins généralistes (hors médecins à expertise particulière - MEP),84,03,181697
2021,Médecins nucléaires,75,16,0
2017,Autres médecins,75,64,123179
2014,Anesthésistes-réanimateurs,24,45,375344
2015,Psychiatres,11,92,84182
2012,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),93,83,151774
2012,Médecins généralistes (hors médecins à expertise particulière - MEP),11,93,165114
2020,Médecins généralistes à expertise particulière (MEP),11,93,198149
2011,Chirurgiens,44,10,237804
2020,Ensemble des médecins spécialistes (hors généralistes),93,13,234484
2010,Radiologues,53,29,434607
2014,Psychiatres,75,47,110713
2022,Médecins vasculaires,11,78,175247
2020,Pneumologues,11,77,241824
2022,Oto-rhino-laryngologistes,93,83,246268
2012,Dermatologues,93,13,102575
2013,Pneumologues,4,974,216775
2018,Autres médecins,11,77,138811
2015,Masseurs-kinésithérapeutes,44,08,88134
2011,Ensemble des médecins,44,52,203195
2014,Médecins généralistes à expertise particulière (MEP),11,75,92634
2013,Autres médecins,28,50,0
2013,Radiologues,76,11,436119
2018,Ensemble des médecins spécialistes (hors généralistes),27,58,340613
2019,Radiologues,52,49,533791
2019,Chirurgiens,75,87,353675
2010,Infirmiers,93,84,77223
2016,Dermatologues,44,52,178098
2014,Médecins généralistes (hors médecins à expertise particulière - MEP),28,27,165304
2011,Orthophonistes,11,75,47673
2021,Pédiatres,11,95,201515
2019,Ensemble des médecins,24,28,250966
2020,Infirmiers,53,22,80889
2013,Orthophonistes,76,48,55727
2012,Médecins nucléaires,76,34,846873
2017,Radiothérapeutes,76,46,0
2016,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),44,54,125473
2017,Orthoptistes,84,73,49246
2020,Médecins pathologistes,44,55,0
2020,Stomatologues,32,62,188906
2010,Pneumologues,52,999,184241
2011,Radiologues,44,54,512830
2016,Orthoptistes,6,999,0
2017,Pédicures-podologues,11,94,1533
2013,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),27,70,0
2015,Médecins généralistes à expertise particulière (MEP),11,91,157163
2013,Orthophonistes,75,47,51856
2012,Médecins généralistes (hors médecins à expertise particulière - MEP),52,85,146746
2022,Sages-femmes,11,95,76467
2015,Néphrologues,44,57,64278
2015,Cardiologues,76,31,339172
2019,Ensemble des chirurgiens-dentistes,32,02,175037
2010,Pédiatres,93,84,115022
2015,Hépato-gastro-entérologues,44,57,284015
2011,Médecins généralistes à expertise particulière (MEP),52,53,131556
2014,Ensemble des médecins généralistes,24,37,144993
2011,Ensemble des médecins spécialistes (hors généralistes),27,89,261567
2018,Radiologues,11,94,583177
2016,Ensemble des médecins spécialistes (hors généralistes),94,2B,291326
2014,Chirurgiens,27,21,250371
2017,Orthophonistes,1,971,59186
2019,Médecins vasculaires,44,52,0
2015,Dermatologues,84,26,150093
2020,Anesthésistes-réanimateurs,32,60,321213
2010,Néphrologues,93,13,229403
2012,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),84,69,202969
2022,Cardiologues,75,999,324120
2016,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),52,53,168454
2018,Autres médecins,11,91,179107
2012,Dermatologues,52,49,132008
2021,Néphrologues,84,15,0
2010,Hépato-gastro-entérologues,28,14,237593
2022,Médecins pathologistes,76,30,663449
2015,Masseurs-kinésithérapeutes,11,999,71274
2011,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),2,999,126146
2011,Médecins généralistes (hors médecins à expertise particulière - MEP),44,08,165496
2014,Médecins généralistes (hors médecins à expertise particulière - MEP),3,999,219481
2022,Médecins nucléaires,27,999,696154
2010,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),44,52,148988
2014,Radiothérapeutes,52,44,2190671
2014,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),75,999,165590
2019,Radiologues,44,67,558338
2018,Médecins vasculaires,52,85,0
2017,Endocrinologues,84,01,62672
2020,Ensemble des médecins,84,15,235881
2010,Ensemble des auxiliaires médicaux,27,25,70442
2022,Pédiatres,53,56,125952
2011,Radiothérapeutes,32,59,1357634
2019,Orthoptistes,44,88,70726
2013,Ophtalmologues,75,47,305773
2020,Hépato-gastro-entérologues,84,74,169824
2013,Ensemble des chirurgiens-dentistes,93,06,87546
2021,Ensemble des médecins généralistes,76,30,179732
2017,Médecins généralistes à expertise particulière (MEP),52,44,168089
2012,Pédiatres,11,78,116972
2011,Endocrinologues,11,93,92947
2016,Hépato-gastro-entérologues,11,92,175182
2012,Anesthésistes-réanimateurs,11,75,202002
2012,Chirurgiens,94,2B,258039
2021,Néphrologues,75,47,0
2014,Chirurgiens,3,973,207010
2013,Chirurgiens,32,80,222779
2013,Ensemble des médecins spécialistes (hors généralistes),1,999,278379
2012,Chirurgiens,84,03,234528
2015,Ensemble des médecins,44,55,210842
2016,Oto-rhino-laryngologistes,11,92,141909
2019,Médecins pathologistes,93,13,511356
2014,Ensemble des auxiliaires médicaux,2,972,102443
2018,Rhumatologues,32,02,229682
2010,Psychiatres,28,61,120247
2017,Infirmiers,94,2A,104423
2019,Orthoptistes,84,07,47966
2020,Oto-rhino-laryngologistes,6,999,0
2017,Néphrologues,52,999,203852
2021,Orthoptistes,27,39,51841
2015,Chirurgiens,27,71,229893
2011,Rhumatologues,94,999,145400
2017,Gynécologues médicaux et obstétriciens,11,77,184945
2020,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),84,63,120596
2022,Ensemble des médecins spécialistes (hors généralistes),94,2A,303968
2015,Orthoptistes,32,59,45866
2012,Hépato-gastro-entérologues,75,19,242845
2015,Ensemble des médecins,28,61,193647
2017,Pneumologues,11,95,230912
2016,Pédicures-podologues,27,999,2848
2014,Radiologues,44,88,590351
2015,Orthophonistes,84,999,47708
2022,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),27,71,459761
2015,Pédicures-podologues,32,80,2920
2014,Ensemble des auxiliaires médicaux,52,72,73419
2022,Dermatologues,11,77,139817
2018,Oto-rhino-laryngologistes,75,17,225162
2014,Autres médecins,93,83,158953
2014,Rhumatologues,52,49,170686
2018,Gynécologues médicaux et obstétriciens,84,42,203783
2021,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),93,84,148819
2010,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),76,48,0
2014,Néphrologues,27,58,0
2022,Ensemble des médecins généralistes,28,76,178141
2022,Chirurgiens,11,93,303093
2012,Ensemble des auxiliaires médicaux,28,50,78485
2010,Ensemble des auxiliaires médicaux,44,68,70956
2011,Psychiatres,11,95,105560
2017,Ensemble des auxiliaires médicaux,93,84,78452
2010,Infirmiers,24,45,84240
2018,Anesthésistes-réanimateurs,93,83,279210
2010,Ophtalmologues,76,999,246310
2011,Neurologues,53,29,164343
2019,Radiothérapeutes,28,76,1434665
2011,Pédiatres,28,999,112553
2015,Oto-rhino-laryngologistes,52,49,232003
2010,Masseurs-kinésithérapeutes,75,79,83034
2018,Médecins pathologistes,84,01,0
2022,Cardiologues,28,50,325190
2018,Gynécologues médicaux et obstétriciens,28,61,163283
2015,Oto-rhino-laryngologistes,4,999,314834
2019,Pédicures-podologues,24,45,3119
2011,Psychiatres,3,973,0
2019,Radiothérapeutes,11,999,2455389
2013,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),4,974,160051
2016,Anesthésistes-réanimateurs,75,999,304591
2018,Rhumatologues,24,45,112186
2010,Masseurs-kinésithérapeutes,75,47,86632
2010,Sages-femmes,52,44,51631
2011,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),52,72,225297
2016,Infirmiers,44,52,92207
2010,Ensemble des médecins spécialistes (hors généralistes),53,22,251108
2018,Cardiologues,76,66,328507
2015,Chirurgiens,75,16,261868
2010,Ensemble des médecins,93,83,171955
2014,Orthophonistes,52,999,47234
2022,Infirmiers,75,17,97352
2013,Gynécologues médicaux et obstétriciens,44,68,216754
2015,Infirmiers,4,974,122934
2020,Pédiatres,84,38,110538
2018,Ensemble des médecins,93,999,205519
2010,Oto-rhino-laryngologistes,84,38,138107
2014,Radiothérapeutes,93,13,1501666
2019,Pneumologues,75,999,236836
2022,Psychiatres,93,84,170402
2010,Ensemble des médecins,44,67,169385
2021,Rhumatologues,3,999,0
2022,Médecins généralistes (hors médecins à expertise particulière - MEP),93,04,170730
2013,Néphrologues,32,02,0
2012,Néphrologues,93,06,297942
2022,Ensemble des chirurgiens-dentistes,93,84,158427
2016,Ophtalmologues,6,976,0
2011,Hépato-gastro-entérologues,24,45,261195
2012,Ophtalmologues,76,31,239106
2021,Autres médecins,44,52,0
2011,Dermatologues,28,61,142466
2011,Ensemble des chirurgiens-dentistes,76,81,118854
2011,Orthoptistes,76,31,37442
2018,Endocrinologues,75,999,116915
2010,Stomatologues,52,999,229974
2016,Cardiologues,93,999,289557
2020,Anesthésistes-réanimateurs,99,999,294422
2013,Pneumologues,44,55,0
2010,Neurologues,3,999,0
2011,Neurologues,11,91,151741
2020,Infirmiers,76,65,83920
2019,Sages-femmes,28,76,73905
2019,Ensemble des médecins généralistes,75,64,152523
2011,Médecins généralistes (hors médecins à expertise particulière - MEP),11,93,164740
2021,Allergologues,11,999,122456
2012,Stomatologues,84,69,124281
2021,Orthophonistes,84,15,66347
2010,Ensemble des médecins,32,59,190916
2015,Cardiologues,44,68,341537
2012,Ensemble des chirurgiens-dentistes,84,07,126520
2019,Ensemble des médecins,11,94,212350
2019,Cardiologues,76,81,408384
2022,Oto-rhino-laryngologistes,3,999,0
2015,Masseurs-kinésithérapeutes,76,66,77149
2010,Dermatologues,24,37,90766
2016,Ensemble des chirurgiens-dentistes,76,65,118180
2020,Infirmiers,2,972,116376
2019,Ophtalmologues,11,78,288735
2013,Autres médecins,44,55,0
2018,Cardiologues,1,999,334969
2012,Masseurs-kinésithérapeutes,75,16,81028
2018,Pédicures-podologues,27,21,3036
2014,Chirurgiens,84,69,208095
2022,Rhumatologues,76,81,188872
2017,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),3,973,185793
2017,Ensemble des médecins,76,11,225708
2011,Ensemble des auxiliaires médicaux,76,999,69149
2010,Gynécologues médicaux et obstétriciens,84,38,141231
2019,Ophtalmologues,11,92,254117
2018,Anesthésistes-réanimateurs,94,999,354788
2012,Masseurs-kinésithérapeutes,11,91,78066
2017,Médecins généralistes à expertise particulière (MEP),76,999,144411
2013,Ensemble des chirurgiens-dentistes,44,10,136722
2019,Médecins vasculaires,2,999,0
2010,Ensemble des médecins spécialistes (hors généralistes),24,28,262668
2014,Dermatologues,44,54,158163
2018,Pédicures-podologues,84,69,2547
2013,Ophtalmologues,76,12,331303
2020,Ensemble des médecins,84,26,204600
2011,Sages-femmes,53,35,56602
2012,Chirurgiens,27,89,272621
2015,Pédiatres,52,49,118549
2014,Sages-femmes,11,75,44307
2010,Pédicures-podologues,76,12,951
2011,Infirmiers,27,71,77313
2015,Anesthésistes-réanimateurs,53,29,356017
2015,Infirmiers,75,24,80871
2016,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),11,95,138616
2014,Médecins nucléaires,52,49,0
2021,Anesthésistes-réanimateurs,1,971,353807
2021,Stomatologues,32,999,259973
2018,Ensemble des chirurgiens-dentistes,2,972,157058
2016,Cardiologues,2,999,415209
2022,Orthophonistes,84,43,50932
2015,Médecins généralistes à expertise particulière (MEP),11,94,138626
2013,Psychiatres,53,29,135541
2020,Cardiologues,52,44,281552
2012,Chirurgiens,44,999,247856
2021,Néphrologues,76,34,258684
2017,Pneumologues,84,26,361580
2012,Ophtalmologues,94,2B,219237
2022,Sages-femmes,76,82,78767
2017,Neurologues,32,80,210303
2014,Médecins généralistes (hors médecins à expertise particulière - MEP),93,06,129648
2015,Néphrologues,28,999,282103
2017,Anesthésistes-réanimateurs,75,999,301442
2021,Pédicures-podologues,4,999,20037
2015,Anesthésistes-réanimateurs,32,59,311925
2010,Ensemble des chirurgiens-dentistes,44,999,130858
2013,Médecins généralistes à expertise particulière (MEP),28,14,134800
2013,Chirurgiens,28,27,234104
2019,Sages-femmes,75,19,57165
2020,Sages-femmes,75,999,62252
2017,Orthoptistes,94,999,48608
2019,Ophtalmologues,32,60,365247
2010,Orthoptistes,84,07,48273
2010,Rhumatologues,94,999,129849
2016,Ensemble des médecins spécialistes (hors généralistes),52,53,338531
2014,Néphrologues,44,67,86470
2021,Médecins généralistes à expertise particulière (MEP),84,74,149363
2016,Dermatologues,24,37,118926
2018,Ensemble des auxiliaires médicaux,27,21,72987
2021,Pédicures-podologues,32,999,6592
2016,Masseurs-kinésithérapeutes,3,973,78201
2021,Pédicures-podologues,84,07,5930
2018,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),44,08,155901
2022,Psychiatres,52,44,116137
2019,Ensemble des médecins généralistes,76,48,184193
2015,Orthophonistes,6,999,53979
2017,Ensemble des chirurgiens-dentistes,24,41,143237
2020,Radiologues,32,59,506877
2010,Ensemble des auxiliaires médicaux,53,35,64294
2019,Dermatologues,52,53,200058
2012,Ensemble des médecins,27,39,161984
2011,Pédiatres,52,999,133505
2018,Médecins généralistes à expertise particulière (MEP),4,999,233865
2011,Néphrologues,44,999,209563
2014,Ensemble des auxiliaires médicaux,3,999,100748
2018,Ensemble des médecins généralistes,94,999,179882
2015,Ensemble des médecins généralistes,76,31,135373
2017,Neurologues,84,999,200256
2014,Chirurgiens,11,78,245648
2013,Ensemble des médecins,84,63,188589
2013,Ensemble des médecins généralistes,3,999,209718
2019,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),76,82,221234
2018,Cardiologues,93,06,291741
2010,Dermatologues,84,15,152674
2020,Ophtalmologues,99,999,350661
2020,Stomatologues,32,999,235361
2021,Masseurs-kinésithérapeutes,75,79,83314
2014,Pédiatres,84,73,128709
2015,Ensemble des médecins,94,2B,215636
2011,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),11,999,113652
2019,Autres médecins,84,73,187659
2017,Ensemble des médecins généralistes,44,54,164858
2018,Masseurs-kinésithérapeutes,32,02,98996
2019,Radiologues,75,86,590327
2016,Dermatologues,2,999,93388
2019,Médecins généralistes (hors médecins à expertise particulière - MEP),2,972,207294
2016,Autres médecins,84,26,131622
2015,Infirmiers,84,999,74987
2019,Médecins généralistes (hors médecins à expertise particulière - MEP),32,60,198888
2021,Ensemble des médecins spécialistes (hors généralistes),11,75,187838
2016,Ensemble des auxiliaires médicaux,76,31,67472
2014,Ensemble des médecins,84,73,161426
2014,Chirurgiens,2,972,140997
2010,Radiologues,44,88,527391
2018,Médecins généralistes (hors médecins à expertise particulière - MEP),27,21,156538
2017,Médecins généralistes (hors médecins à expertise particulière - MEP),11,94,166252
2021,Médecins généralistes à expertise particulière (MEP),84,69,149340
2015,Ensemble des médecins spécialistes (hors généralistes),76,34,249329
2016,Cardiologues,11,93,316986
2021,Chirurgiens,75,64,299086
2021,Hépato-gastro-entérologues,32,59,307176
2012,Pédicures-podologues,93,13,1967
2012,Dermatologues,32,60,149529
2011,Endocrinologues,24,37,75250
2021,Néphrologues,44,55,0
2014,Cardiologues,27,39,219992
2010,Autres médecins,53,22,196827
2021,Ophtalmologues,93,06,407321
2015,Anesthésistes-réanimateurs,75,999,286244
2012,Médecins généralistes (hors médecins à expertise particulière - MEP),75,40,145969
2015,Ensemble des médecins,11,95,212068
2019,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),32,62,161164
2013,Radiologues,4,974,608522
2012,Oto-rhino-laryngologistes,11,92,125670
2018,Cardiologues,93,84,349551
2020,Radiothérapeutes,93,999,2405127
2021,Hépato-gastro-entérologues,28,999,278923
2011,Néphrologues,53,35,0
2011,Sages-femmes,75,87,60616
2016,Médecins généralistes (hors médecins à expertise particulière - MEP),93,06,138829
2013,Ensemble des médecins spécialistes (hors généralistes),11,77,244432
2016,Médecins pathologistes,84,15,0
2016,Ensemble des médecins,27,39,184863
2019,Chirurgiens,44,57,238531
2022,Cardiologues,75,47,523510
2019,Dermatologues,32,999,171411
2017,Orthophonistes,24,18,49603
2014,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),32,80,152137
2019,Ensemble des chirurgiens-dentistes,24,999,158576
2016,Gynécologues médicaux et obstétriciens,44,88,217426
2012,Ensemble des auxiliaires médicaux,84,01,71667
2020,Infirmiers,11,75,91248
2019,Anesthésistes-réanimateurs,53,999,308831
2010,Orthophonistes,27,90,47851
2014,Cardiologues,44,57,361184
2012,Radiothérapeutes,99,999,1336206
2014,Médecins généralistes à expertise particulière (MEP),11,92,114952
2018,Rhumatologues,24,37,168189
2015,Ensemble des médecins généralistes,28,14,150958
2012,Ensemble des médecins spécialistes (hors généralistes),24,999,262584
2014,Dermatologues,76,32,195128
2020,Sages-femmes,11,77,71605
2022,Gynécologues médicaux et obstétriciens,27,58,184163
2013,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),76,999,145428
2010,Ensemble des médecins spécialistes (hors généralistes),75,16,238865
2016,Oto-rhino-laryngologistes,94,999,167812
2022,Allergologues,52,53,0
2019,Ensemble des médecins spécialistes (hors généralistes),84,73,244528
2015,Rhumatologues,27,21,108466
2021,Endocrinologues,76,31,129393
2017,Néphrologues,52,53,0
2017,Orthophonistes,44,55,54734
2014,Autres médecins,76,81,154045
2010,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),75,33,129734
2015,Ensemble des médecins,76,31,196097
2015,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),11,92,127515
2013,Cardiologues,24,999,296363
2022,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),11,77,225608
2020,Médecins nucléaires,75,40,0
2011,Dermatologues,76,999,115974
2013,Endocrinologues,2,999,64974
2017,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),84,73,120549
2015,Radiothérapeutes,53,35,2106116
2015,Ensemble des auxiliaires médicaux,11,94,67544
2020,Radiothérapeutes,53,999,2581628
2013,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),84,999,113781
2012,Pneumologues,11,93,208822
2020,Ensemble des médecins généralistes,84,63,154732
2010,Chirurgiens,76,11,244108
2010,Cardiologues,24,41,235117
2022,Radiothérapeutes,3,999,0
2017,Cardiologues,32,62,412415
2022,Dermatologues,28,50,247492
2014,Orthophonistes,76,31,50162
2017,Psychiatres,75,64,157403
2022,Ensemble des médecins,53,29,209570
2013,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),44,68,210793
2019,Infirmiers,76,66,91197
2015,Orthoptistes,94,999,45772
2020,Médecins nucléaires,11,77,905442
2013,Cardiologues,76,34,251119
2021,Ensemble des médecins spécialistes (hors généralistes),27,999,327847
2012,Pédiatres,84,43,0
2022,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),84,74,125509
2014,Ensemble des médecins généralistes,52,72,164706
2017,Hépato-gastro-entérologues,44,10,260571
2015,Masseurs-kinésithérapeutes,75,19,94853
2021,Stomatologues,53,56,0
2011,Psychiatres,75,999,103223
2012,Sages-femmes,76,12,43765
2014,Ensemble des médecins généralistes,75,17,139525
2012,Ensemble des médecins,93,13,161057
2016,Radiothérapeutes,93,05,0
2021,Oto-rhino-laryngologistes,11,91,226253
2013,Cardiologues,53,22,247546
2018,Oto-rhino-laryngologistes,44,51,287156
2021,Oto-rhino-laryngologistes,84,38,246623
2014,Masseurs-kinésithérapeutes,76,32,87319
2012,Pédicures-podologues,28,61,1523
2015,Psychiatres,84,69,93331
2015,Radiothérapeutes,27,39,0
2014,Néphrologues,11,77,242041
2015,Endocrinologues,24,45,141856
2017,Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),84,26,420805
2020,Orthoptistes,84,73,48913
2017,Ensemble des médecins,24,45,246629
2013,Oto-rhino-laryngologistes,94,2B,191002
2014,Infirmiers,84,07,75833
2010,Masseurs-kinésithérapeutes,75,16,80411
2010,Médecins généralistes à expertise particulière (MEP),24,45,134564
2013,Pneumologues,84,43,0
2019,Ensemble des médecins,1,999,258242
2015,Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),76,34,110189
2014,Oto-rhino-laryngologistes,11,75,109888
2022,Stomatologues,44,55,0
2016,Néphrologues,93,06,360853
2020,Orthoptistes,94,2A,45266
